Wavelength,I(0),I(KBr),I(KI)
462.9562,710.15,245.3422,144.6667
463.4126,721.57,243.2622,146.2867
463.8689,726.27,242.0222,140.4067
464.3252,739.17,252.3622,148.5267
464.7815,754.39,257.0022,150.4667
465.2378,761.03,253.7622,149.9067
465.694,777.83,260.9022,150.9867
466.1503,792.55,268.8622,159.7267
466.6064,799.99,273.3622,161.7267
467.0626,816.11,269.7222,161.5667
467.5188,832.03,280.4822,168.0467
467.9749,855.77,287.4822,172.5067
468.431,881.63,293.4422,177.1267
468.8871,896.93,301.5222,170.7467
469.3431,921.95,319.8622,185.6267
469.7991,949.49,322.3422,192.8067
470.2551,968.13,321.9022,191.2667
470.7111,992.53,336.4622,194.2867
471.1671,1026.87,344.7022,208.4067
471.623,1054.19,352.3822,212.4867
472.0789,1064.55,353.7422,202.4867
472.5348,1091.47,371.9422,216.2467
472.9907,1121.97,376.7222,223.0267
473.4465,1152.33,379.6622,221.9267
473.9023,1185.59,398.6822,234.7267
474.3581,1209.85,404.6822,240.4667
474.8139,1235.03,414.2822,247.6267
475.2696,1269.87,419.9022,247.8267
475.7253,1309.45,436.8022,261.0267
476.181,1330.85,441.4622,264.4467
476.6367,1356.15,447.6022,267.9467
477.0923,1386.95,457.2022,267.3667
477.5479,1437.27,472.6422,278.2867
478.0035,1466.09,482.3822,287.3067
478.4591,1491.67,485.2222,292.5467
478.9147,1517.67,500.9822,295.7867
479.3702,1558.29,517.5222,308.0467
479.8257,1584.27,515.5822,308.3667
480.2812,1610.79,531.3022,310.3667
480.7366,1666.99,548.5222,327.4867
481.192,1728.69,564.2422,336.9667
481.6474,1789.19,577.9422,350.9267
482.1028,1859.81,605.2422,361.6667
482.5582,2008.21,650.3622,388.2467
483.0135,2116.63,681.6622,411.2267
483.4688,2213.47,712.2222,417.4467
483.9241,2060.09,678.2822,406.2867
484.3794,1933.53,632.4222,377.6267
484.8346,1933.41,627.4822,377.5267
485.2898,1963.51,634.8022,380.2067
485.745,1981.39,648.1622,389.6067
486.2002,2001.07,653.9822,393.2667
486.6553,2030.21,655.3822,395.9067
487.1104,2050.11,664.6422,396.7867
487.5655,2082.99,674.0422,406.2867
488.0206,2107.55,679.7222,409.7667
488.4756,2145.05,684.4622,412.8867
488.9306,2161.41,702.7022,424.8867
489.3856,2200.73,705.9022,430.0067
489.8406,2233.07,712.0422,432.2267
490.2955,2256.85,727.3422,442.8667
490.7505,2281.73,736.3422,443.4667
491.2054,2322.63,744.7222,453.8467
491.6602,2345.61,751.5622,458.9267
492.1151,2384.65,768.0822,468.7067
492.5699,2409.59,771.5022,471.1867
493.0247,2435.89,772.9022,475.3667
493.4795,2471.99,780.4222,482.2267
493.9342,2494.67,802.8822,489.5467
494.389,2516.17,800.0622,491.6267
494.8437,2535.29,806.1622,493.4867
495.2984,2560.51,814.9422,498.7867
495.753,2584.59,819.6822,504.9467
496.2077,2630.35,829.2622,513.6867
496.6623,2653.17,840.2622,512.9467
497.1169,2694.33,853.4422,527.0867
497.5714,2719.43,858.4622,526.8067
498.026,2740.55,861.3422,532.5867
498.4805,2766.41,882.9422,539.0467
498.935,2816.05,886.7422,546.7467
499.3894,2822.05,885.4822,551.2667
499.8439,2865.79,899.5422,552.3667
500.2983,2902.83,912.8022,568.1067
500.7527,2928.65,920.3022,565.6867
501.207,2944.41,917.3622,569.7267
501.6614,2967.03,926.4622,571.7867
502.1157,2988.67,940.6222,583.0667
502.57,3040.09,951.0222,592.0067
503.0243,3064.81,956.8422,591.3067
503.4785,3088.97,964.2222,596.8067
503.9328,3127.01,980.8422,605.6867
504.387,3137.55,976.8422,607.2867
504.8411,3152.33,981.5222,607.4267
505.2953,3207.65,999.4822,621.1667
505.7494,3233.01,999.8422,628.9267
506.2035,3257.75,1008.4422,630.2267
506.6576,3295.35,1022.7022,634.9667
507.1116,3312.87,1023.1022,641.3067
507.5657,3337.51,1024.8422,645.0667
508.0197,3372.65,1031.7022,642.8067
508.4737,3411.87,1050.7222,658.5267
508.9276,3436.95,1053.1622,671.3867
509.3816,3467.13,1059.5222,665.9467
509.8355,3510.13,1074.0222,673.4867
510.2894,3523.23,1079.0422,681.1067
510.7432,3564.47,1093.8422,689.8267
511.1971,3596.49,1091.3022,690.5867
511.6509,3616.21,1111.0422,694.8467
512.1047,3646.85,1114.9422,703.4267
512.5584,3684.37,1111.8222,709.6467
513.0122,3729.03,1135.9022,712.6667
513.4659,3763.93,1145.4222,721.1267
513.9196,3799.75,1146.5822,727.1267
514.3733,3821.39,1146.7422,732.0267
514.8269,3837.25,1160.8822,733.0067
515.2805,3877.81,1174.8622,749.2067
515.7341,3913.07,1171.4822,748.5267
516.1877,3938.55,1180.0222,753.2267
516.6412,3992.05,1206.8822,763.5067
517.0948,4006.61,1204.9622,768.0467
517.5483,4012.43,1198.4622,768.4067
518.0017,4076.29,1227.0022,777.1867
518.4552,4111.89,1232.4022,785.9467
518.9086,4157.75,1239.6622,793.1667
519.362,4154.31,1235.8222,791.7867
519.8154,4203.79,1258.1622,811.9667
520.2688,4230.49,1264.8622,806.6267
520.7221,4264.73,1268.1022,811.9667
521.1754,4318.51,1278.5022,818.6667
