Wavelength,I(0),I(NaCl),I(KCl)
482.1028,1703.6722,62.5426,581.0852
482.5582,1833.2722,67.1759,589.1852
483.0135,1939.8056,79.8759,630.4519
483.4688,2040.8056,74.5093,666.0852
483.9241,1943.1056,74.6759,697.1185
484.3794,1783.5722,70.9093,643.7852
484.8346,1781.3722,73.5093,595.4185
485.2898,1817.1056,76.8759,582.8852
485.745,1829.5722,79.7759,581.0185
486.2002,1854.5722,85.0093,578.9519
486.6553,1880.4389,85.6093,579.9852
487.1104,1895.2722,84.8759,582.8852
487.5655,1922.1056,93.0093,574.2519
488.0206,1942.8056,93.0759,586.7185
488.4756,1968.3056,98.8426,582.5852
488.9306,1996.4722,98.4426,583.9852
489.3856,2018.7389,101.6093,587.6519
489.8406,2047.7389,102.6426,596.8185
490.2955,2077.9056,108.2426,593.3852
490.7505,2107.0056,108.6093,584.7185
491.2054,2146.2389,119.3759,581.8852
491.6602,2158.4056,124.7426,593.4185
492.1151,2190.5056,124.3759,592.6852
492.5699,2219.3056,133.4759,587.9185
493.0247,2244.5389,134.2426,590.3185
493.4795,2272.9056,137.3759,590.7852
493.9342,2308.2722,141.6093,590.8185
494.389,2324.4722,149.4093,593.0185
494.8437,2339.2722,156.0426,590.3519
495.2984,2351.7722,156.0093,593.9185
495.753,2387.6722,161.6426,584.3852
496.2077,2423.4389,160.5426,585.3185
496.6623,2448.1722,170.6093,596.8852
497.1169,2477.6389,178.3093,596.4519
497.5714,2507.8056,182.8759,601.2185
498.026,2519.3056,193.6093,594.2519
498.4805,2551.5389,196.3426,598.0852
498.935,2592.4722,200.2426,592.9519
499.3894,2603.1722,206.8426,608.4519
499.8439,2648.0056,209.4093,604.1519
500.2983,2679.2722,217.2759,611.5519
500.7527,2696.0722,225.6426,612.3519
501.207,2708.7056,234.4093,622.9519
501.6614,2739.5056,241.0759,614.0519
502.1157,2756.2056,242.9093,623.9185
502.57,2796.0722,257.0093,622.6852
503.0243,2820.4056,259.1093,630.1519
503.4785,2837.7389,264.3759,640.7519
503.9328,2863.1722,276.0426,632.5852
504.387,2886.9722,282.3426,652.9185
504.8411,2911.7056,291.3093,656.0852
505.2953,2950.0722,301.5759,658.7519
505.7494,2981.3056,309.3759,662.6519
506.2035,3001.4722,317.4426,676.3852
